,ques,ans,ans2
185,1974年にリチャード・ハリス主演によってアメリカで公開されたサスペンス映画で、以降爆弾処理のシーンで定番となった、2本のリード線のどちらを切断するかを迫られるシーンを初めて使用したとされる映画は何でしょう？,『ジャガーノート』,ジャガーノート
186,かつて口紅をつける際に使われていたことから「紅差し指」という別名を持つ指を、一般には何指というでしょう？,薬指,くすり
187,その国旗が「金星紅旗」と呼ばれるアジアの国はどこでしょう？,ベトナム社会主義共和国,ベトナム
188,弦楽器で弦を巻いて調律する部品と、テントを張るために地面に打ち付ける杭に共通する英語名は何でしょう？,ペグ,ペグ
189,大相撲の本場所で幕内力士に贈られる三賞とは、敢闘賞、技能賞と何賞でしょう？,殊勲賞,しゅくん
190,出身地である岐阜県の渓谷の名前をそのままペンネームとしている小説家で、代表作に『贖罪の奏鳴曲』を始めとする御子柴礼司シリーズや、『さよならドビュッシー』を始めとする岬洋介シリーズなどがあるのは誰でしょう？,中山七里,なかやましちり
191,1951年に小説『壁－S・カルマ氏の犯罪』で芥川賞を受賞した、『燃えつきた地図』『箱男』『砂の女』などの作品で知られる日本の作家は誰でしょう？,安部公房,あべこうぼう
192,1848年に琉球国王に即位するも、その後の琉球処分により日本の華族となった、琉球最後の国王は誰でしょう？,尚泰,しょうたい
193,慶應義塾大学在学中にBY PHAR THE DOPESTを結成したのち、KICK THE CAN CREWのメンバーとなり、ソロとしては『イッサイガッサイ』『音色』などの曲を発表している日本のラッパーは誰でしょう？,KREVA,クレバ
194,演奏記号で、違う高さの音符をつなげて滑らかに演奏することを表す記号は何でしょう？,スラー,スラー
195,手塚治虫がアニメ『鉄腕アトム』の制作中に発案し命名したとされる手法で、アニメや特撮作品などの制作において、ヒーローの変身などよく使われるシーンを保存して複数回にわたって使い回すことを「何システム」というでしょう？,バンクシステム,バンク
196,1976年に角川映画の第1回作品として公開された、横溝正史が原作、市川崑が監督、石坂浩二が主演の金田一耕助役をそれぞれ務めた映画は何でしょう？,『犬神家の一族』,いぬがみけのいちぞく
197,世界的ベストセラー『赤毛のアン』の作者として知られる、カナダの作家は誰でしょう？,ルーシー・モード・モンゴメリ,モンゴメリ
198,アマチュアレスリングで男子の試合のみ採用されている、腰から下への攻撃が禁止されている種目を何スタイルというでしょう？,グレコローマンスタイル,グレコローマン
199,1898年にフランク・セイバーリングによって創業された、翼の生えた足のロゴマークで知られる、ブリヂストン、ミシュランと並ぶ世界最大級のタイヤ会社はどこでしょう？,グッドイヤー・タイヤ・アンド・ラバー・カンパニー,グッドイヤー
200,学名を「Homo erectus pekinensis」という、中国の森林で発見された化石人類は何でしょう？,北京原人,ペキンげんじん
201,1989年に『8の殺人』で小説家デビューした、ゲーム『かまいたちの夜』のシナリオを担当したことでも知られる作家は誰でしょう？,我孫子武丸,あびこたけまる
202,日本海海戦において「本日天気晴朗ナレドモ浪高シ」という名文を打電したことで知られる、現在の愛媛県出身の軍人は誰でしょう？,秋山真之,あきやまさねゆき
203,野球のアメリカ・メジャーリーグの球団のうち、ワールドシリーズでの優勝回数が最も多いのはどこでしょう？,ニューヨーク・ヤンキース,ニューヨークヤンキース
204,1980年代に流行した、女性の体型を強調したファッションである「ボディコン」は何の略でしょう？,ボディ・コンシャス,ボディコンシャス
205,2005年に「削除された悪ふざけとナンセンス」の保管場所としてフリー百科事典「ウィキペディア」内で開始された、ほぼすべての記事が嘘で構成されたウィキペディアのパロディサイトは何でしょう？,アンサイクロペディア,アンサイクロペディア
206,欧米のカジノで一般的に行われるポーカーの一種で、自分に配られた2枚の手札と全プレイヤー共有の5枚のコミュニティカードとの組合せで役を競う形式のことを、あるアメリカの州名を使って何というでしょう？,テキサス・ホールデム,テキサスホールデム
207,ディズニー配給のアニメ映画『ナイトメアー・ビフォア・クリスマス』に登場する、骸骨のような頭を持つ主人公のファーストネームは何でしょう？,ジャック,ジャック
208,諏訪大社の御柱祭で歌われるものなどに代表される、日本民謡の中でも大木などの重い物を大勢で運ぶ時に歌われる唄として生まれたものを特に何唄というでしょう？,木遣り唄,きやり
209,かつては「カラ島」とも呼ばれた、ツァーリ・ボンバをはじめ、数々の核実験の実験場となったロシアにある列島は何でしょう？,ノヴァヤゼムリャ,ノヴァヤゼムリャ
210,易占で使われる50本1組の細長い竹の棒を何というでしょう？,筮竹,ぜいちく
211,大学入試の過去問題集のうち、通称「赤本」と呼ばれる『大学入試シリーズ』を発行しているのは何という出版社ブランドでしょう？,教学社,きょうがくしゃ
