,ques,ans
213,和名を「テンジクボタン」という、植物学者アンデシュ・ダールにちなむ名を持つ植物は何でしょう？(34%),ダリア
214,教育玩具としての積み木の考案や、世界初の一般幼稚園・キンダーガルテンを創設した功績で知られる、「幼児教育の祖」と称されるドイツの教育思想家は誰でしょう？(30%),フリードリヒ・フレーベル
215,海でメメクラゲに腕を刺され静脈を切断された少年が治療のために医者を探してさまよい歩くという内容の、漫画雑誌『ガロ』に掲載されていたつげ義春の漫画作品は何でしょう？(25%),『ねじ式』
216,フリー百科事典「ウィキペディア」内で、執筆・編集を行う人のことを特に何と呼ぶでしょう？(37%),ウィキペディアン
217,体操競技のゆかの技「後方伸身2回宙返り3回ひねり」を、それを初めて国際大会で成功させた日本の体操選手の名前から何と呼ぶでしょう？(31%),シライ3
218,日本国憲法では第98条で同法をこれに規定している、ある国で施行されている法体系のうち最も強い効力を持つ法を指す言葉は何でしょう？(34%),最高法規
219,小倉百人一首の歌に登場する唯一の昆虫である、現代語では「コオロギ」と呼ばれる虫のことを、歌に用いられた古語で何と呼ぶでしょう？(34%),きりぎりす
220,ドイツ語で「かもめ」という意味がある、宮崎駿監督の映画『風の谷のナウシカ』に登場する架空の飛行装置は何でしょう？(33%),メーヴェ
221,電報を基本料金で利用できるのは何文字まででしょう？(34%),25
222,フランス語で「25歳」という意味がある、主に富裕層の女性を対象に、ハースト婦人画報社が毎月発行しているファッション誌は何でしょう？(40%),『25ans』
223,WBOでは「ジュニアヘビー級」という、ボクシングの階級でヘビー級に次いで2番目に重い階級を、「巡洋艦」という意味の英語から何級というでしょう？(33%),クルーザー級
224,主に懐石料理に用いる、両端が細く、中央がやや太くなっている杉の箸を、ある人物の名を用いて何というでしょう？(25%),利休箸
225,日本の裁判員制度において、年齢のみを理由に裁判員を辞退できるのは何歳以上の人でしょう？(24%),70歳以上
226,SMAPのCDシングルのうち、売り上げ枚数が100万枚を超えた初めての曲であり、のちに作詞者のスガシカオもカバーしている曲といえば何でしょう？(38%),『夜空ノムコウ』
227,日本の陸上自衛隊の衛生科職種の徽章にも用いられている、クスシヘビが杖に巻き付いた医学のシンボルマークのことを、ギリシャ神話に登場する名医の名前を使って何というでしょう？(24%),アスクレピオスの杖
228,"1934年に関西地方を中心に約3,000人の死者・行方不明者を出した台風の通称と、それとよく似た経路を辿って関西地方に大きな被害をもたらした1961年の台風の通称に共通する、両台風の上陸地となった四国の地名は何でしょう？(31%)",室戸
229,第一次世界大戦中に捕虜として日本へ連行され、1919年に現在の原爆ドームにて日本で初めてバウムクーヘンを作ったことで知られる、自らが創始した兵庫県神戸市に本社を置く製菓会社にその名を残すドイツ出身の菓子職人は誰でしょう？(34%),カール・ユーハイム
230,陸上の七種競技の種目で、最初に行われるのは100mハードルですが、最後に行われるのは何でしょう？(23%),800m競走
231,ダーツの種目「カウントアップ」は全部で何ラウンド行われるでしょう？(30%),8
232,パリ警視庁やノートルダム大聖堂が位置する、セーヌ川に浮かぶ中州の名前は何島でしょう？,シテ島
233,ボードゲームのオセロで、1手でひっくり返すことができる石の数は理論上最大でいくつでしょう？,18個
234,鎌倉幕府が承久の乱の後、京都守護を改組し「北方」と「南方」に分けて置いた役職を一般に何というでしょう？,六波羅探題
235,1964年に大阪府の待兼山から化石が出土したことからその名が付けられた、更新世に日本に生息していた大型のワニは何でしょう？,マチカネワニ
236,日本語では「絵解き」ともいう、写真やイラストに添えられる簡潔な説明文を英語で何というでしょう？,キャプション
237,「鳥類の翼」と「昆虫の翅」の関係などがこれにあたる、共通の起源を持たず別々に発達したものでありながら、結果的に形態や役割がほぼ同じである器官同士の関係性を、漢字2字の生物学用語で何というでしょう？,相似
238,弟は同じく総理大臣経験がある佐藤栄作である、「昭和の妖怪」と称された日本の第56・57代内閣総理大臣といえば誰でしょう？,岸信介
239,長期間の量産に成功したメーカーはマツダだけである、ドイツの科学者フェリクス・ヴァンケルが発明したエンジンを一般に何というでしょう？,ロータリーエンジン
